#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2     Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
     12     789.50276    0.010408461 3.0253006 0.96833623 0.022460198 0.11775246 1.0701506 0.049011217  3.430241 1.6140776 7.0477743 2.0461807 4.7344885 2.2530234 3.0738155 2.0600196e-09 68.202057     -25.911717        -25.911717 1630.8289   1630.8289
      3     791.19978     0.01041191 3.0210313 0.96946588 0.022518268 0.11741629 1.0726845 0.047067593  3.430241 1.6140776 7.0477743 2.0461807 4.7344885 2.2530234 3.0738155 2.0512435e-09 68.486691     -25.679729        -25.679729  1633.759    1633.759
     17     791.13488     0.01041191 3.0210313 0.96946588 0.022518268 0.11741629 1.0726845 0.047067593 3.4309907   1.61538 7.0499304 2.0463964 4.7354828  2.252088 3.0737927 2.0512435e-09 68.486691     -25.679729        -25.679729 1633.6292   1633.6292
     79     792.98145     0.01041191 3.0210313 0.96946588 0.022518268 0.11741629 1.0726845 0.047067593 3.4423625 1.6033129 7.0377797 2.0473367 4.7443551 2.2470307 3.0719113 2.0512435e-09 68.486691     -25.679729        -25.679729 1637.3224   1637.3224
      3     794.02552    0.010411998 3.0212564 0.96934922 0.022521244 0.11745709 1.0716074 0.047355854 3.4423625 1.6033129 7.0377797 2.0473367 4.7443551 2.2470307 3.0719113 2.0517053e-09 68.477457     -25.718613        -25.718613 1639.4883   1639.4883
      3     795.71658    0.010413687 3.0198897 0.96797554 0.022539955 0.11761547 1.0740576 0.045615951 3.4423625 1.6033129 7.0377797 2.0473367 4.7443551 2.2470307 3.0719113 2.0489033e-09 68.492885      -25.46022         -25.46022 1642.3536   1642.3536
      5      794.2546    0.010413656 3.0202065 0.96737335 0.022538665  0.1173955 1.0721851 0.044935042 3.4423625 1.6033129 7.0377797 2.0473367 4.7443551 2.2470307 3.0719113 2.0495523e-09 68.569836     -25.343632        -25.343632 1639.1965   1639.1965
     39     791.26268    0.010413656 3.0202065 0.96737335 0.022538665  0.1173955 1.0721851 0.044935042 3.4333932 1.6118567  7.049038 2.0506814  4.735739 2.2437796  3.073933 2.0495523e-09 68.569836     -25.343632        -25.343632 1633.2126   1633.2126
     27     791.17748    0.010413542 3.0198539 0.96735773 0.022542451 0.11746487  1.072715  0.04494928 3.4333932 1.6118567  7.049038 2.0506814  4.735739 2.2437796  3.073933 2.0488299e-09  68.54418     -25.346159        -25.346159 1633.0473   1633.0473
      1     791.64757    0.010413273 3.0197336 0.96741926 0.022548432 0.11759473 1.0721488  0.04527543 3.4333932 1.6118567  7.049038 2.0506814  4.735739 2.2437796  3.073933 2.0485833e-09 68.493398     -25.403002        -25.403002 1634.1011   1634.1011
