#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2      Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
     11     731.72253    0.010408948 3.0793071 0.96524376 0.022387801 0.12034959  1.0026009 0.072519617 3.3083643 1.4541342  7.200043 2.0287753  4.620164 2.2766527 3.1167469 2.1743332e-09 67.241032     -23.103671        -23.103671 1509.6524   1509.6524
      2     731.97903    0.010409415 3.0818829 0.96482499 0.022389929 0.12053154  0.9944065 0.072981404 3.3083643 1.4541342  7.200043 2.0287753  4.620164 2.2766527 3.1167469 2.1799411e-09 67.195062     -22.944653        -22.944653 1509.8474   1509.8474
      5     731.40552    0.010409829 3.0830366 0.96403295 0.022381234 0.12029439 0.99245275 0.072805766 3.3083643 1.4541342  7.200043 2.0287753  4.620164 2.2766527 3.1167469 2.1824574e-09 67.284276     -23.005606        -23.005606 1508.8223   1508.8223
     36     730.08277    0.010409805 3.0812296 0.96299485  0.02237273  0.1199718 0.99011926 0.072604545 3.3083643 1.4541342  7.200043 2.0287753  4.620164 2.2766527 3.1167469 2.1785173e-09 67.389161     -23.074726        -23.074726  1506.315    1506.315
     18      731.0442    0.010409805 3.0812296 0.96299485  0.02237273  0.1199718 0.99011926 0.072604545 3.3024477 1.4830057 7.1926434 2.0270629 4.6415707  2.270839 3.1146669 2.1785173e-09 67.389161     -23.074726        -23.074726 1508.2378   1508.2378
      1     731.18708    0.010409866 3.0814794  0.9630741 0.022374451 0.11998266 0.98899235 0.072781713 3.3024477 1.4830057 7.1926434 2.0270629 4.6415707  2.270839 3.1146669 2.1790615e-09 67.388813     -23.013908        -23.013908  1508.402    1508.402
     19     730.66034    0.010409832 3.0815331 0.96292887 0.022375432 0.12002018 0.98846451 0.072522292 3.3024477 1.4830057 7.1926434 2.0270629 4.6415707  2.270839 3.1146669 2.1791787e-09 67.375345     -23.102761        -23.102761 1507.5262   1507.5262
      1     731.93614    0.010410271 3.0810844 0.96267242 0.022378076 0.12007369 0.98633885 0.072381035 3.3024477 1.4830057 7.1926434 2.0270629 4.6415707  2.270839 3.1146669 2.1782011e-09 67.373508     -23.150611        -23.150611 1510.1735   1510.1735
      4     731.60077    0.010410274 3.0810879 0.96271406 0.022377407 0.12006279 0.98608771 0.072293564 3.3024477 1.4830057 7.1926434 2.0270629 4.6415707  2.270839 3.1146669 2.1782087e-09 67.376871     -23.180053        -23.180053 1509.5616   1509.5616
      6     732.02833    0.010410274 3.0810879 0.96271406 0.022377407 0.12006279 0.98608771 0.072293564 3.3014365 1.4911065 7.2002359 2.0276317 4.6476287 2.2717396 3.1147477 2.1782087e-09 67.376871     -23.180053        -23.180053 1510.4168   1510.4168
     10     732.51456    0.010410274 3.0810879 0.96271406 0.022377407 0.12006279 0.98608771 0.072293564 3.2999363 1.4907542 7.2042108 2.0261746 4.6450854 2.2712757 3.1147001 2.1782087e-09 67.376871     -23.180053        -23.180053 1511.3892   1511.3892
      1      733.7936    0.010409871 3.0820066 0.96509004 0.022411822 0.11998869 0.98315849 0.073036483 3.2999363 1.4907542 7.2042108 2.0261746 4.6450854 2.2712757 3.1147001 2.1802107e-09 67.417741      -22.92542         -22.92542  1513.438    1513.438
     21     731.91377    0.010409419 3.0832012 0.96319621 0.022444068  0.1196784 0.98965157 0.073859239 3.2999363 1.4907542 7.2042108 2.0261746 4.6450854 2.2712757 3.1147001 2.1828168e-09 67.538007     -22.631336        -22.631336 1509.0902   1509.0902
     11     731.92339    0.010409418 3.0831995  0.9631994 0.022444045 0.11967896 0.98966646 0.073870537 3.2999363 1.4907542 7.2042108 2.0261746 4.6450854 2.2712757 3.1147001 2.1828129e-09 67.537759     -22.627209        -22.627209 1509.1012   1509.1012
     40     732.66083    0.010408841 3.0825642 0.96270749  0.02246735  0.1196419 0.98983726 0.073854515 3.2999363 1.4907542 7.2042108 2.0261746 4.6450854 2.2712757 3.1147001 2.1814267e-09 67.550704     -22.633061        -22.633061 1510.5878   1510.5878
      9       731.697    0.010408841 3.0825642 0.96270749  0.02246735  0.1196419 0.98983726 0.073854515 3.3117949 1.5209462 7.1312405 2.0358384 4.6541666 2.2824687 3.1111994 2.1814267e-09 67.550704     -22.633061        -22.633061 1508.6601   1508.6601
     16     731.15319    0.010408841 3.0825642 0.96270749  0.02246735  0.1196419 0.98983726 0.073854515 3.3131606 1.5305651 7.1231162 2.0359439 4.6555879 2.2831462 3.1100701 2.1814267e-09 67.550704     -22.633061        -22.633061 1507.5725   1507.5725
     42     731.07395    0.010408841 3.0825642 0.96270749  0.02246735  0.1196419 0.98983726 0.073854515 3.3125956 1.5320113 7.1197847 2.0356683 4.6536574 2.2840776 3.1086941 2.1814267e-09 67.550704     -22.633061        -22.633061  1507.414    1507.414
      1     731.48272    0.010408841 3.0825642 0.96270749  0.02246735  0.1196419 0.98983726 0.073854515 3.3129955  1.537252 7.1179138 2.0358981 4.6553882 2.2845815 3.1084507 2.1814267e-09 67.550704     -22.633061        -22.633061 1508.2316   1508.2316
      2     732.11506    0.010408841 3.0825642 0.96270749  0.02246735  0.1196419 0.98983726 0.073854515 3.3119249 1.5326878 7.1144594 2.0352862 4.6616671 2.2851894 3.1079002 2.1814267e-09 67.550704     -22.633061        -22.633061 1509.4962   1509.4962
 9  727.7878 0.010408841 3.0825642 0.96270749  0.02246735  0.1196419 0.98983726 0.073854515 3.3234195   1.51144 7.1044422 2.0424417 4.7024114 2.2614495 3.1055499 2.1814267e-09 67.550704 -22.633061 -22.633061 1500.8417 1500.8417
 4 728.16709 0.010408851 3.0828834 0.96225987 0.022463931 0.11967771  0.9909722    0.073961 3.3234195   1.51144 7.1044422 2.0424417 4.7024114 2.2614495 3.1055499 2.1821232e-09 67.535653  -22.59408  -22.59408 1501.5223 1501.5223
 5 727.32821 0.010408486 3.0832658 0.96219568  0.02246603 0.11986672 0.98561828 0.073306524 3.3234195   1.51144 7.1044422 2.0424417 4.7024114 2.2614495 3.1055499 2.1829577e-09 67.458892 -22.830297 -22.830297  1500.317  1500.317
46 727.33099 0.010408485 3.0832662 0.96219527 0.022466013 0.11986667 0.98561951 0.073303977 3.3234195   1.51144 7.1044422 2.0424417 4.7024114 2.2614495 3.1055499 2.1829586e-09 67.458884 -22.831201 -22.831201 1500.3244 1500.3244
13 727.62161  0.01040851 3.0830773  0.9627066 0.022465011 0.11989948 0.98897847 0.073526449 3.3234195   1.51144 7.1044422 2.0424417 4.7024114 2.2614495 3.1055499 2.1825463e-09 67.447381 -22.751817 -22.751817 1500.7469 1500.7469
41 727.51428  0.01040851 3.0830773  0.9627066 0.022465011 0.11989948 0.98897847 0.073526449 3.3282374 1.4959808 7.1016936   2.04427 4.6855733 2.2594605 3.1049023 2.1825463e-09 67.447381 -22.751817 -22.751817 1500.5322 1500.5322
36 727.28544  0.01040851 3.0830773  0.9627066 0.022465011 0.11989948 0.98897847 0.073526449 3.3286096 1.4952577 7.1038508 2.0444538 4.6882942 2.2596551 3.1059117 2.1825463e-09 67.447381 -22.751817 -22.751817 1500.0745 1500.0745
40 727.28748  0.01040851 3.0830773  0.9627066 0.022465011 0.11989948 0.98897847 0.073526449 3.3325887 1.5002352 7.1121893 2.0433694 4.6967877 2.2589095 3.1067081 2.1825463e-09 67.447381 -22.751817 -22.751817 1500.0786 1500.0786
28 725.91401 0.010407845 3.0807282 0.96031083 0.022430236 0.12004863 0.98319236 0.071171825 3.3325887 1.5002352 7.1121893 2.0433694 4.6967877 2.2589095 3.1067081 2.1774252e-09 67.344226 -23.544902 -23.544902 1498.9178 1498.9178
 9 725.96894 0.010407671  3.081152 0.95973663 0.022438157  0.1202544 0.98451124 0.071086687 3.3325887 1.5002352 7.1121893 2.0433694 4.6967877 2.2589095 3.1067081 2.1783483e-09 67.273138 -23.571629 -23.571629 1499.0811 1499.0811
22 725.40083 0.010407671  3.081152 0.95973663 0.022438157  0.1202544 0.98451124 0.071086687 3.3286078 1.5298245 7.1089172 2.0424025 4.7187436 2.2518415 3.1100997 2.1783483e-09 67.273138 -23.571629 -23.571629 1497.9449 1497.9449
 4 725.63243 0.010407653 3.0802774 0.95970575 0.022432869 0.12016064 0.98359125 0.071404222 3.3286078 1.5298245 7.1089172 2.0424025 4.7187436 2.2518415 3.1100997 2.1764439e-09 67.300864 -23.471253 -23.471253 1498.2074 1498.2074
28  725.5783  0.01040764  3.080165 0.95946164 0.022431139 0.12020588 0.98184814 0.071189281 3.3286078 1.5298245 7.1089172 2.0424025 4.7187436 2.2518415 3.1100997 2.1761993e-09  67.28322 -23.539405 -23.539405 1498.2354 1498.2354
