#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2     Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
     50     733.52876    0.010409761 3.0468566 0.97546913 0.022375748 0.11649782 1.0255294 0.061748502 3.2778864 1.8147979 6.8646094  2.087481 4.8952709 2.2071111 3.0868365 2.1049076e-09 68.628791     -25.677512        -25.677512 1518.4125   1518.4125
     13     736.47031    0.010409761 3.0468566 0.97546913 0.022375748 0.11649782 1.0255294 0.061748502 3.2929203 1.7617776  6.852916 2.0846208 4.9277708 2.1938905 3.0844683 2.1049076e-09 68.628791     -25.677512        -25.677512 1524.2956   1524.2956
      3     737.04507    0.010409761 3.0468566 0.97546913 0.022375748 0.11649782 1.0255294 0.061748502 3.2938218 1.7692305 6.8477365 2.0830778 4.9588687 2.1909154  3.083664 2.1049076e-09 68.628791     -25.677512        -25.677512 1525.4452   1525.4452
      2     734.86319    0.010409761 3.0468566 0.97546913 0.022375748 0.11649782 1.0255294 0.061748502 3.2832428 1.7511857 6.8509027 2.0852572 4.9762918 2.1872943 3.0852319 2.1049076e-09 68.628791     -25.677512        -25.677512 1521.0814   1521.0814
      3     734.43627    0.010409761 3.0468566 0.97546913 0.022375748 0.11649782 1.0255294 0.061748502 3.2814333 1.8144322 6.8545278 2.0912053 4.9717928 2.1803884 3.0862978 2.1049076e-09 68.628791     -25.677512        -25.677512 1520.2276   1520.2276
     26     735.00786    0.010409588 3.0468659 0.97543697 0.022376968 0.11654424 1.0248452 0.061432721 3.2814333 1.8144322 6.8545278 2.0912053 4.9717928 2.1803884 3.0862978 2.1049271e-09 68.607108     -25.720122        -25.720122  1521.456    1521.456
      6     735.52625    0.010410456 3.0475794 0.97592956 0.022393365  0.1169918 1.0287821 0.061913957 3.2814333 1.8144322 6.8545278 2.0912053 4.9717928 2.1803884 3.0862978 2.1064295e-09 68.487689      -25.65444         -25.65444 1522.3614   1522.3614
      6     735.09691    0.010411029 3.0484748 0.97476571 0.022424828 0.11688687 1.0297746 0.061705638 3.2814333 1.8144322 6.8545278 2.0912053 4.9717928 2.1803884 3.0862978 2.1083164e-09 68.570853     -25.683406        -25.683406 1521.5606   1521.5606
      2     733.87979    0.010411059   3.04824 0.97453894 0.022421714 0.11687087 1.0316055 0.062112693 3.2814333 1.8144322 6.8545278 2.0912053 4.9717928 2.1803884 3.0862978 2.1078215e-09 68.575101     -25.626047        -25.626047 1519.0117   1519.0117
      1     734.68595    0.010411909 3.0498553 0.97588015 0.022431323 0.11636851 1.0405481 0.063731303 3.2814333 1.8144322 6.8545278 2.0912053 4.9717928 2.1803884 3.0862978 2.1112289e-09  68.79394     -25.367203        -25.367203 1520.1063   1520.1063
